City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,xai-xai,MZ,-25.0519,33.6442,60.58,93,0,7.45,clear sky
324,bow island,CA,49.8668,-111.3684,76.62,29,59,5.75,broken clouds
325,timra,SE,62.487,17.3257,51.48,93,40,3.44,scattered clouds
326,sarangani,PH,5.4033,125.4636,82.63,76,100,12.84,light rain
327,ahipara,NZ,-35.1667,173.1667,57.96,68,75,25.9,broken clouds
328,porto santo,PT,33.072,-16.3415,66.58,72,40,6.91,scattered clouds
329,abnub,EG,27.2696,31.1511,82.62,32,0,9.57,clear sky
330,pangnirtung,CA,66.1451,-65.7125,31.39,92,93,0.65,overcast clouds
331,virginia beach,US,36.8529,-75.978,81.05,79,40,8.05,scattered clouds
332,los llanos de aridane,ES,28.6585,-17.9182,66.13,93,75,10.36,broken clouds
333,ilhabela,BR,-23.7781,-45.3581,59.85,65,100,6.33,overcast clouds
334,panaba,MX,21.2833,-88.2667,87.69,49,32,12.93,scattered clouds
335,ribeira grande,PT,38.5167,-28.7,62.8,77,14,22.95,few clouds
336,bennington,US,42.8781,-73.1968,68.61,79,93,5.03,overcast clouds
337,iskateley,RU,67.6803,53.1512,46.13,57,76,7.58,broken clouds
338,alta floresta,BR,-9.8756,-56.0861,77.38,60,100,4.21,overcast clouds
339,saint anthony,US,45.0205,-93.218,80.76,67,40,13.8,scattered clouds
340,kingman,US,35.1894,-114.053,104.18,2,0,32.21,clear sky
341,urrao,CO,6.3152,-76.1342,58.53,98,93,1.52,overcast clouds
342,sabang,ID,5.8933,95.3214,82.38,70,98,3.74,overcast clouds
343,nanortalik,GL,60.1432,-45.2371,37.24,93,100,11.52,overcast clouds
344,dunedin,NZ,-45.8742,170.5036,48.79,57,47,15.99,scattered clouds
345,kerugoya,KE,-0.4989,37.2803,58.8,93,100,2.19,overcast clouds
346,ivaipora,BR,-24.2478,-51.6847,44.15,81,0,4.7,clear sky
347,kununurra,AU,-15.7667,128.7333,66.18,34,40,6.91,scattered clouds
348,sharanga,RU,57.1775,46.5396,45.23,87,12,4.18,few clouds
349,geneva,US,41.8875,-88.3054,73.85,67,0,14.97,clear sky
